Date,Precipitation,MeanTemp
2007-06-01,235.39,25.9
2007-07-01,257.5,25.64
2007-08-01,299.96,25.68
2007-09-01,248.99,25.52
2007-10-01,402.72,25.52
2007-11-01,365.95,24.93
2007-12-01,387.45,25.17
2008-01-01,596.28,25.25
2008-02-01,299.03,24.72
2008-03-01,367.42,25.01
2008-04-01,272.32,25.62
2008-05-01,236.06,25.82
2008-06-01,142.3,25.5
2008-07-01,157.82,25.31
2008-08-01,241.51,25.59
2008-09-01,183.88,25.6
2008-10-01,285.2,25.54
2008-11-01,348.25,25.35
2008-12-01,367.69,25.17
2009-01-01,283.79,24.68
2009-02-01,110.53,25.25
2009-03-01,179.6,25.38
2009-04-01,239.38,26.09
2009-05-01,300.66,26.11
2009-06-01,257.89,26.32
2009-07-01,292.63,25.82
2009-08-01,314.75,26.01
2009-09-01,314.92,26.06
2009-10-01,225.05,25.69
2009-11-01,374.29,25.37
2009-12-01,388.28,25.34
2010-01-01,481.43,25.37
2010-02-01,293.49,25.96
2010-03-01,412.57,26.25
2010-04-01,236.09,26.54
2010-05-01,262.38,26.76
2010-06-01,233.39,26.12
2010-07-01,132.36,25.39
2010-08-01,223.5,25.69
2010-09-01,189.53,25.59
2010-10-01,318.04,25.6
2010-11-01,336.06,25.29
2010-12-01,421.38,24.99
2011-01-01,344.07,24.87
2011-02-01,270.42,25.02
2011-03-01,306.24,25.13
2011-04-01,309.27,25.77
2011-05-01,249.63,25.98
2011-06-01,137.6,26.08
2011-07-01,228.3,25.97
2011-08-01,210.77,25.91
2011-09-01,200.08,25.78
2011-10-01,294.18,25.52
2011-11-01,388.08,25.6
2011-12-01,404.94,25.36
2012-01-01,275.34,25.43
2012-02-01,310.58,25.46
2012-03-01,180.84,25.6
2012-04-01,263.76,25.87
2012-05-01,272.8,26.25
2012-06-01,142.61,26.29
2012-07-01,179.43,25.67
2012-08-01,248.55,25.88
2012-09-01,251.06,25.82
2012-10-01,281.65,25.67
2012-11-01,340,25.61
2012-12-01,475.48,25.71
2013-01-01,352.3,25.65
2013-02-01,107.01,25.43
2013-03-01,129.98,26.37
2013-04-01,179.18,26.37
2013-05-01,274.66,26.37
2013-06-01,139.21,26.58
2013-07-01,179.06,25.79
2013-08-01,314.77,25.88
2013-09-01,188.8,25.74
2013-10-01,289.12,25.46
2013-11-01,343.29,25.46
2013-12-01,438.79,25.34
2014-01-01,356.25,24.46
2014-02-01,145.33,25.21
2014-03-01,116.58,25.86
2014-04-01,228.24,26.28
2014-05-01,201.28,26.38
2014-06-01,212.03,26.77
2014-07-01,166.33,26.12
2014-08-01,239.56,25.54
2014-09-01,159.82,25.88
2014-10-01,224.25,25.66
2014-11-01,393.91,25.67
2014-12-01,339.59,25.5
2015-01-01,195.12,24.96
2015-02-01,214.07,25.19
2015-03-01,173.44,25.93
2015-04-01,190.14,26.4
2015-05-01,273.89,26.63
2015-06-01,207.77,26.51
2015-07-01,236.33,26.4
2015-08-01,212.13,25.99
2015-09-01,238.57,26.19
2015-10-01,295.12,26.1
2015-11-01,343.49,25.76
2015-12-01,383.27,26.02
2016-01-01,332.09,26.18
2016-02-01,287.61,26.07
2016-03-01,281.49,26.62
2016-04-01,266.21,27.09
2016-05-01,246.43,26.93
2016-06-01,136.15,26.29
2016-07-01,195.24,26.18
2016-08-01,314.97,26.6
2016-09-01,293.75,25.96
2016-10-01,270.12,26.06
2016-11-01,376.12,25.78
2016-12-01,417.85,25.81
2017-01-01,450.84,25.71
2017-02-01,275.37,25.37
2017-03-01,248.24,25.64
2017-04-01,245.89,26.06
2017-05-01,284.1,26.42
2017-06-01,227.14,26.07
2017-07-01,171.41,26.39
2017-08-01,156.53,25.81
2017-09-01,236.33,25.78
2017-10-01,313.76,25.86
2017-11-01,332.78,25.57
2017-12-01,411.62,25.52
2018-01-01,245.36,25.06
2018-02-01,127.73,25.23
2018-03-01,125.16,25.91
2018-04-01,212.4,26.35
2018-05-01,241.92,26.2
2018-06-01,267.43,26.08
2018-07-01,164.94,26.37
2018-08-01,162.74,26.44
2018-09-01,170.83,25.62
2018-10-01,295.88,25.72
2018-11-01,278.46,25.9
2018-12-01,424.16,25.85
2019-01-01,169.05,25.95
2019-02-01,152.38,25.87
2019-03-01,197.96,26.32
2019-04-01,258.45,26.85
2019-05-01,273.59,26.88
2019-06-01,300.48,26.44
2019-07-01,295.1,26.2
2019-08-01,217.57,26.29
2019-09-01,314.51,26.15
2019-10-01,290.01,25.67
2019-11-01,400.97,25.86
2019-12-01,368.98,25.58
